`,Replicate,IndividualID,FoodDate,Sex,PupationDate,PupalMass,PupationAge,EmergenceDate,EmergenceAge,Ultrasound,,,,,,,,,,,,,,
1 to 3,14,16,8/14/17,F,8/26/17,0.4157,14,9/3/17,20,N,,,,,,,,,,,,,,
1 to 3,19,31,9/1/17,F,NA,0.4153,NA,9/24/17,23,N,,,,,,,,,,,,,,
1 to 3,27,2,11/13/17,F,11/24/17,0.4151,11,12/6/17,23,N,,,,,,,,,,,,,,
1 to 3,31,46,12/11/17,F,NA,0.4149,NA,1/13/18,33,N,,,,,,,,,,,,,,
1 to 3,27,29,11/13/17,F,11/25/17,0.4146,12,12/6/17,23,N,,,,,,,,,,,,,,
1 to 3,13,10,8/14/17,F,8/24/17,0.4143,12,9/2/17,19,N,,,,,,,,,,,,,,
1 to 3,26,22,10/30/17,F,11/12/17,0.4142,14,11/22/17,23,N,,,,,,,,,,,,,,
1 to 3,6,10,6/12/17,F,NA,0.4138,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,27,25,11/13/17,F,11/24/17,0.4137,11,12/6/17,23,N,,,,,,,,,,,,,,
1 to 3,20,63,9/5/17,F,9/20/17,0.4136,15,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,6,3,6/12/17,F,NA,0.4131,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,31,22,12/10/17,F,NA,0.4128,NA,1/11/18,32,N,,,,,,,,,,,,,,
1 to 3,20,36,9/5/17,F,9/17/17,0.4125,12,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,19,45,9/1/17,F,NA,0.4122,NA,9/24/17,23,N,,,,,,,,,,,,,,
1 to 3,27,18,11/13/17,F,11/25/17,0.4122,12,12/6/17,23,N,,,,,,,,,,,,,,
1 to 3,20,1,9/5/17,F,9/19/17,0.4117,14,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,18,48,8/30/17,F,NA,0.4116,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,29,48,12/4/17,F,12/19/17,0.4116,15,NA,NA,N,,,,,,,,,,,,,,
1 to 3,27,16,11/13/17,F,11/24/17,0.4112,11,12/7/17,24,N,,,,,,,,,,,,,,
1 to 3,18,50,8/30/17,F,NA,0.4111,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,27,24,11/13/17,F,11/24/17,0.4106,11,12/5/17,22,N,,,,,,,,,,,,,,
1 to 3,18,21,8/30/17,F,NA,0.4105,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,6,12,6/12/17,F,NA,0.4104,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,18,64,8/30/17,F,NA,0.4101,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,24,47,10/11/17,F,10/24/17,0.41,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,29,63,12/4/17,F,12/18/17,0.4099,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,18,14,8/30/17,F,NA,0.4096,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,6,8,6/12/17,F,NA,0.4095,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,29,3,12/4/17,F,12/17/17,0.4095,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,18,42,8/30/17,F,NA,0.409,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,6,53,6/12/17,F,NA,0.4089,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,10,31,8/3/17,F,8/14/17,0.4086,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,22,3,9/27/17,F,NA,0.4084,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,25,54,10/25/17,F,11/6/17,0.4082,13,11/18/17,24,N,,,,,,,,,,,,,,
1 to 3,31,3,12/10/17,F,NA,0.4079,NA,1/12/18,33,N,,,,,,,,,,,,,,
1 to 3,6,21,6/12/17,F,NA,0.4078,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,31,29,12/10/17,F,NA,0.4073,NA,1/12/18,33,N,,,,,,,,,,,,,,
1 to 3,19,29,9/1/17,F,NA,0.4072,NA,9/25/17,24,N,,,,,,,,,,,,,,
1 to 3,27,17,11/13/17,F,11/26/17,0.4071,13,12/6/17,23,N,,,,,,,,,,,,,,
1 to 3,20,21,9/5/17,F,9/19/17,0.4069,14,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,12,56,8/8/17,F,8/19/17,0.4067,12,8/30/17,22,N,,,,,,,,,,,,,,
1 to 3,24,37,10/11/17,F,10/23/17,0.4067,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,26,27,10/30/17,F,11/12/17,0.4061,14,11/21/17,22,N,,,,,,,,,,,,,,
1 to 3,19,39,9/1/17,F,NA,0.4058,NA,9/24/17,23,N,,,,,,,,,,,,,,
1 to 3,18,19,8/30/17,F,NA,0.4046,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,23,8/14/17,F,8/26/17,0.404,14,9/3/17,20,N,,,,,,,,,,,,,,
1 to 3,18,53,8/30/17,F,NA,0.4036,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,33,8/14/17,F,8/26/17,0.4034,12,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,16,16,8/28/17,F,NA,0.4032,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,10,10,8/3/17,F,8/14/17,0.4026,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,47,8/14/17,F,8/26/17,0.4023,12,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,19,63,9/1/17,F,NA,0.4021,NA,9/25/17,24,N,,,,,,,,,,,,,,
1 to 3,6,11,6/12/17,F,NA,0.4017,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,19,32,9/1/17,F,NA,0.4011,NA,DEAD,NA,N,,,,,,,,,,,,,,
1 to 3,20,37,9/5/17,F,9/18/17,0.401,13,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,1,62,5/2/17,F,5/13/17,0.4009,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,19,62,9/1/17,F,NA,0.4007,NA,9/24/17,23,N,,,,,,,,,,,,,,
1 to 3,24,48,10/11/17,F,10/24/17,0.4006,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,18,30,8/30/17,F,NA,0.4005,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,27,1,11/13/17,F,11/24/17,0.4002,11,12/6/17,23,N,,,,,,,,,,,,,,
1 to 3,25,44,10/25/17,F,11/7/17,0.4,14,11/19/17,25,N,,,,,,,,,,,,,,
1 to 3,33,13,2/20/18,F,3/4/18,0.3999,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,20,8/11/17,F,8/23/17,0.3998,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,19,43,9/1/17,F,NA,0.3994,NA,9/23/17,22,N,,,,,,,,,,,,,,
1 to 3,21,19,9/6/17,F,9/20/17,0.3994,15,NA,NA,N,,,,,,,,,,,,,,
1 to 3,20,35,9/5/17,F,9/19/17,0.3986,14,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,18,16,8/30/17,F,NA,0.3985,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,27,19,11/13/17,F,11/24/17,0.3985,11,12/5/17,22,N,,,,,,,,,,,,,,
1 to 3,29,17,12/4/17,F,12/17/17,0.398,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,3,8/8/17,F,8/19/17,0.3977,12,8/30/17,22,N,,,,,,,,,,,,,,
1 to 3,6,45,6/12/17,F,NA,0.3975,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,10,46,8/3/17,F,8/14/17,0.3975,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,19,40,9/1/17,F,NA,0.3975,NA,9/25/17,24,N,,,,,,,,,,,,,,
1 to 3,25,33,10/25/17,F,11/8/17,0.3975,15,11/19/17,25,N,,,,,,,,,,,,,,
1 to 3,2,5,6/15/17,F,NA,0.3973,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,7,62,7/3/17,F,7/15/17,0.3973,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,10,45,8/3/17,F,8/14/17,0.3973,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,19,35,9/1/17,F,NA,0.3973,NA,9/23/17,22,N,,,,,,,,,,,,,,
1 to 3,31,23,12/10/17,F,NA,0.3973,NA,1/12/18,33,N,,,,,,,,,,,,,,
1 to 3,16,19,8/28/17,F,NA,0.3972,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,20,22,9/5/17,F,9/17/17,0.3972,12,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,31,59,12/11/17,F,NA,0.3971,NA,1/13/18,33,N,,,,,,,,,,,,,,
1 to 3,24,36,10/11/17,F,10/23/17,0.397,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,26,39,10/30/17,F,11/12/17,0.397,14,11/22/17,23,N,,,,,,,,,,,,,,
1 to 3,14,15,8/14/17,F,8/26/17,0.3969,14,9/2/17,19,N,,,,,,,,,,,,,,
1 to 3,29,52,12/4/17,F,12/17/17,0.3966,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,29,33,12/4/17,F,12/16/17,0.3965,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,24,32,10/11/17,F,10/24/17,0.3964,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,19,59,9/1/17,F,NA,0.3959,NA,9/24/17,23,N,,,,,,,,,,,,,,
1 to 3,20,30,9/5/17,F,9/17/17,0.3956,12,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,19,19,9/1/17,F,NA,0.3955,NA,9/23/17,22,N,,,,,,,,,,,,,,
1 to 3,7,56,7/3/17,F,7/15/17,0.3952,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,22,5,9/27/17,F,NA,0.3951,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,31,36,12/11/17,F,NA,0.3951,NA,1/14/18,34,N,,,,,,,,,,,,,,
1 to 3,22,2,9/27/17,F,NA,0.395,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,25,8/11/17,F,8/23/17,0.3948,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,25,14,10/25/17,F,11/8/17,0.3947,15,11/20/17,26,N,,,,,,,,,,,,,,
1 to 3,12,33,8/14/17,F,8/26/17,0.3946,12,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,27,42,11/13/17,F,11/24/17,0.3944,11,12/7/17,24,N,,,,,,,,,,,,,,
1 to 3,31,2,12/10/17,F,NA,0.3943,NA,1/11/18,32,N,,,,,,,,,,,,,,
1 to 3,11,8,8/11/17,F,8/23/17,0.3941,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,14,8/14/17,F,8/26/17,0.394,12,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,7,12,7/3/17,F,7/15/17,0.394,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,31,5,12/10/17,F,NA,0.3935,NA,1/13/18,34,N,,,,,,,,,,,,,,
1 to 3,26,16,10/30/17,F,11/12/17,0.3933,14,11/22/17,23,N,,,,,,,,,,,,,,
1 to 3,7,48,7/3/17,F,7/15/17,0.3932,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,2,8/7/17,F,8/19/17,0.3932,13,8/29/17,22,N,,,,,,,,,,,,,,
1 to 3,19,34,9/1/17,F,NA,0.3932,NA,9/25/17,24,N,,,,,,,,,,,,,,
1 to 3,12,36,8/8/17,F,8/20/17,0.3931,13,8/31/17,23,N,,,,,,,,,,,,,,
1 to 3,19,10,9/1/17,F,NA,0.3931,NA,9/24/17,23,N,,,,,,,,,,,,,,
1 to 3,20,45,9/5/17,F,9/17/17,0.3925,12,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,24,64,10/11/17,F,10/23/17,0.3917,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,18,22,8/30/17,F,NA,0.3916,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,6,64,6/12/17,F,NA,0.3915,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,24,59,10/11/17,F,10/24/17,0.3914,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,32,8/8/17,F,8/20/17,0.3913,13,8/30/17,22,N,,,,,,,,,,,,,,
1 to 3,1,51,5/2/17,F,5/13/17,0.3912,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,19,11,9/1/17,F,NA,0.3912,NA,9/25/17,24,N,,,,,,,,,,,,,,
1 to 3,20,61,9/5/17,F,9/17/17,0.3911,12,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,29,19,12/4/17,F,12/17/17,0.3911,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,16,24,8/28/17,F,NA,0.391,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,25,4,10/25/17,F,11/8/17,0.391,15,11/17/17,23,N,,,,,,,,,,,,,,
1 to 3,20,58,9/5/17,F,9/19/17,0.3907,14,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,17,7,8/28/17,F,NA,0.3904,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,16,27,8/28/17,F,NA,0.3898,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,29,22,12/4/17,F,12/17/17,0.3898,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,26,36,10/30/17,F,11/12/17,0.3894,14,11/21/17,22,N,,,,,,,,,,,,,,
1 to 3,7,42,7/3/17,F,7/15/17,0.3892,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,24,6,10/11/17,F,10/23/17,0.3891,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,9,57,7/17/17,F,NA,0.389,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,24,24,10/11/17,F,10/23/17,0.3886,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,29,11,12/4/17,F,12/17/17,0.3886,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,14,17,8/14/17,F,8/26/17,0.3883,14,9/3/17,20,N,,,,,,,,,,,,,,
1 to 3,29,47,12/4/17,F,12/18/17,0.3882,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,7,31,7/3/17,F,7/15/17,0.3881,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,7,40,7/3/17,F,7/15/17,0.3881,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,16,35,8/28/17,F,NA,0.3881,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,10,34,8/3/17,F,8/14/17,0.3879,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,19,15,9/1/17,F,NA,0.3877,NA,9/25/17,24,N,,,,,,,,,,,,,,
1 to 3,4,10,5/30/17,F,6/10/17,0.3876,11,NA,NA,N,,,,,,,,,,,,,,
1 to 3,29,46,12/4/17,F,12/16/17,0.3873,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,18,20,8/30/17,F,NA,0.3872,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,28,29,11/27/17,F,12/12/17,0.3871,15,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,15,8/11/17,F,8/23/17,0.3869,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,19,8/11/17,F,8/23/17,0.3864,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,15,51,8/14/17,F,8/25/17,0.3864,11,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,25,32,10/25/17,F,11/6/17,0.3863,13,11/18/17,24,N,,,,,,,,,,,,,,
1 to 3,12,58,8/14/17,F,8/26/17,0.386,12,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,27,11,11/13/17,F,11/25/17,0.386,12,12/6/17,23,N,,,,,,,,,,,,,,
1 to 3,26,45,10/30/17,F,11/12/17,0.3857,14,11/24/17,25,N,,,,,,,,,,,,,,
1 to 3,7,51,7/3/17,F,7/15/17,0.3856,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,12,34,8/8/17,F,8/20/17,0.3854,13,8/30/17,22,N,,,,,,,,,,,,,,
1 to 3,19,42,9/1/17,F,NA,0.3854,NA,9/25/17,24,N,,,,,,,,,,,,,,
1 to 3,16,2,8/28/17,F,NA,0.3853,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,11,23,8/7/17,F,8/21/17,0.3849,15,8/30/17,23,N,,,,,,,,,,,,,,
1 to 3,7,38,7/3/17,F,7/15/17,0.3846,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,21,6,9/6/17,F,9/20/17,0.3846,15,NA,NA,N,,,,,,,,,,,,,,
1 to 3,26,5,10/30/17,F,11/12/17,0.3844,14,11/21/17,22,N,,,,,,,,,,,,,,
1 to 3,27,12,11/13/17,F,11/25/17,0.3844,12,12/7/17,24,N,,,,,,,,,,,,,,
1 to 3,10,26,8/3/17,F,8/14/17,0.3842,14,NA,NA,N,,,,,,,,,,,,,,
1 to 3,19,49,9/1/17,F,NA,0.3842,NA,9/23/17,22,N,,,,,,,,,,,,,,
1 to 3,12,39,8/8/17,F,8/19/17,0.3841,12,8/30/17,22,N,,,,,,,,,,,,,,
1 to 3,27,4,11/13/17,F,11/25/17,0.3841,12,DEAD,DEAD,N,,,,,,,,,,,,,,
1 to 3,26,34,10/30/17,F,11/13/17,0.3839,15,11/21/17,22,N,,,,,,,,,,,,,,
1 to 3,7,61,7/3/17,F,7/15/17,0.3838,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,29,35,12/4/17,F,12/17/17,0.3837,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,19,48,9/1/17,F,NA,0.3836,NA,9/23/17,22,N,,,,,,,,,,,,,,
1 to 3,11,14,8/11/17,F,8/23/17,0.3835,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,17,6,8/28/17,F,NA,0.3834,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,19,24,9/1/17,F,NA,0.3834,NA,9/30/17,29,N,,,,,,,,,,,,,,
1 to 3,15,59,8/14/17,F,8/26/17,0.3832,12,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,20,28,9/5/17,F,9/18/17,0.3832,13,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,16,32,8/28/17,F,NA,0.383,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,20,16,9/5/17,F,9/19/17,0.383,14,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,12,10,8/14/17,F,8/26/17,0.3829,12,9/6/17,23,N,,,,,,,,,,,,,,
1 to 3,24,50,10/11/17,F,10/23/17,0.3829,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,9,60,7/17/17,F,NA,0.3828,NA,8/6/17,20,N,,,,,,,,,,,,,,
1 to 3,16,5,8/28/17,F,NA,0.3828,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,29,7,12/4/17,F,12/17/17,0.3827,13,NA,NA,N,,,,,,,,,,,,,,
1 to 3,16,8,8/28/17,F,NA,0.3824,NA,NA,NA,N,,,,,,,,,,,,,,
1 to 3,26,59,10/30/17,F,11/12/17,0.3824,14,11/21/17,22,N,,,,,,,,,,,,,,
1 to 3,28,30,11/27/17,F,12/11/17,0.3824,14,12/22/17,25,N,,,,,,,,,,,,,,
1 to 3,12,11,8/14/17,F,8/26/17,0.3821,12,9/5/17,22,N,,,,,,,,,,,,,,
1 to 3,20,54,9/5/17,F,9/18/17,0.3821,13,9/29/17,24,N,,,,,,,,,,,,,,
1 to 3,25,7,10/25/17,F,11/8/17,0.3821,15,11/17/17,23,N,,,,,,,,,,,,,,
1 to 3,11,7,8/11/17,F,8/23/17,0.3818,12,NA,NA,N,,,,,,,,,,,,,,
1 to 3,24,1,10/11/17,F,10/23/17,0.3816,12,NA,NA,N,,,,,,,,,,,,,,
